property_id,price
d56159653f5d2abc5ed5acd7,563767613.6227947
45550aa81c0151f1fd9fd8fe,506422638.63250124
735deef3382aa15930482f3e,621112588.6130884
0dd49fa8bb7be52b851c6dc9,563767613.6227947
7d3220a91e78f8bc2924d1cd,563767613.6227947
d3054072b2175deec2c1f8dc,690642750.0355883
b7574b06d593fca4eac59815,690642750.0355883
79e822115c5c1a4531366001,352552686.2600452
d3ed5316a463d38c1bd321d0,851947700.9411465
2f1880c9b8f7ac2715e1236d,783915316.252751
dcca1c7f109175760ff531c6,563767613.6227947
dfc4f3facf91bbd93ee0fa4d,678457563.6033819
30e134a6cbe61d7954d0f56b,493519587.56121445
385fee7bd9ad7722d45dd034,459772809.4340488
87199c236bf22903d1aafdd0,452398372.9143213
19e19ad0cd6b5e84d8aa970e,615037409.5337257
907f968e78d748fde69dd44f,629757478.5731994
be094e5db0f784e3aa013aae,495576162.675462
7ab96f83915bc84f8c03c1bd,572265677.7193065
07f4aa9b9ff5b0b05d31e6c0,760690019.8107723
e9be8cd37abed8ab510ba1f5,666111900.6440145
5f6ad58df27b562db077b5ce,714607551.8106352
ee96d947484aaace40f9b77f,674961224.4676875
15c4aef8401208054697b81e,508286760.4084605
22d6cb11333f2839b8112b89,912995143.4518924
288c09c33907dadbae495c11,1020115352.11211
f71d2bca0c5fe2720a1544c4,678457563.6033819
451744cf3ce55a98db8a3562,678457563.6033819
fba9ae05a6a8a9e0c6268a9f,678457563.6033819
1338e58f7dcebf5a1ea59388,678457563.6033819
a817e8da0ada143ac87277ee,584962600.405835
46d8bb3e9a0ca584d3c7a317,690642750.0355883
b2506aa9463aebf01e1e00ca,690642750.0355883
7ec025b9b6e6f33bf65af41b,690642750.0355883
2ff531e27672ecd2362eed55,621112588.6130884
9b3cf0d1b91b9c6a2a887647,621112588.6130884
7db5291ce4602d9b2b266872,533710218.6316446
65d5918e826c33bb950fc008,627205181.8291914
395c34e4b8f52cbdb0522459,627205181.8291914
855f4b67d2bd6d18fd03d8e7,627205181.8291914
9ff06409b37e5b5dece4604a,627205181.8291914
0508cd7bd2c77ebb6fea1e56,627205181.8291914
b45fff2e718e54772d46a3fd,627205181.8291914
cf4d2297b73dbc357d21e31b,627205181.8291914
0ada7044c5b29925abc90879,627205181.8291914
6305f02255274ab5fb6bd39c,720700145.0267383
d9a94194ae1350512beff3e6,720700145.0267383
e3896296cb80d50d9ad3f903,720700145.0267383
6514f355887c64136edb5595,814195108.224285
f03400cc18e12903b3ffbe5a,563767613.6227947
4e134600155a64783b3f8c3e,563767613.6227947
d63ebc63c82fbf66d8b6ffd3,657262576.8203416
1bd64811bd59706844230198,657262576.8203416
a83921284639eedd4a511cb6,657262576.8203416
a2f3f7a1cd573e2a33f52e2d,657262576.8203416
47344a66471fa51f61c64652,657262576.8203416
78fd849c9429091347d7e5c9,657262576.8203416
c3daf2abea55af99c9579319,657262576.8203416
52864916eb1984abca41ec66,750757540.0178883
c62494a9d7aede44f2f84023,750757540.0178883
a2b576643f7a032371587e5e,844252503.2154351
e53bc68f0e97ccead24f3e56,621112588.6130884
fd82c710aad91bc90af490fe,563767613.6227947
d436abc2ee37ba3dd561e940,563767613.6227947
216a598114a403676011cb51,621112588.6130884
ea230d5eccd2b687888173bb,506422638.63250124
18bd0dd7580f2a7cb19a90b9,355659410.5939392
b143c8ca6d334f6a73c3f2a0,392156305.0027628
ab388cb4fa511968783bafee,690642750.0355883
6a4f08cd04d558a56af732d9,467180403.4793485
7216c895aa047c4f405c4941,477134101.95448226
a493488dcd906dc74cf8a604,563767613.6227947
7844b0b2bc65dced90a355c6,563767613.6227947
c1976383069b6b82ab29d092,498922866.16715455
e5cfd99e2308b7b73581dbdc,627205181.8291914
c18c2ea88f4ac53970b53d2c,690642750.0355883
842c9f0e4edf1e5a672ce15e,563767613.6227947
7dd1e46dcbddc6bf5ef694de,485651268.2003096
6cc4f32b39180bd1ec7e117b,563767613.6227947
79e643789a85dc4ffad49a25,783505471.6348077
b3402a9173d289d6db78e09d,657262576.8203416
a446507813234e358db8b573,573946964.6437403
c8ef57ddfb35061d1876f94e,636987054.986254
360be0df2c003005e3db080e,851947700.9411465
9ab245a4c91877cb7a8661ce,975412803.1408005
a57a34c7486e7a40e8deb316,720700145.0267383
ceba7d0f56f6cb03538962fb,720700145.0267383
d5475993f9db58c3e4baf7a3,672543265.7638751
d37a1dda09e30da13ff5bfc3,720700145.0267383
68a8b8d077a8232723bf37e9,714607551.8106352
e1eea7716ca6490b7640717a,720700145.0267383
4ae6d75b10848d259ecba576,720700145.0267383
17afbce5c0b56732abbea936,720700145.0267383
84a2673eccd3cf3bd7fd3eb0,750757540.0178883
f2f4e6cbafe527b155707f01,750757540.0178883
de2e3a592cda5b76c9573c5c,750757540.0178883
fac651cf404a58f24dc7d286,1102086761.2554595
e6f312a0877af26b69855a3d,1101146077.6242573
333a643c623a9bc75f3a40f2,750757540.0178883
64593641e470908ef23b46cb,780814935.0090383
ce9f2f0071be658ae75ca6f9,906197769.9811457
9ab385e399a4673732b6a799,657262576.8203416
3429c774b736cefc051e2c55,627205181.8291914
a51ad0372758b2bbfe73f8fd,627205181.8291914
8c801a266256e3fbabe7e3d2,448171970.42616045
ca2f81b8fb6fda20aefb0ccb,563767613.6227947
3c1b1f86087f9b99380e387c,563767613.6227947
b0cad5d612954b8cab18101c,787629722.6165255
7eb991f4c69215377e4dac8f,688235210.2031969
0d130b8bea4321300396fa34,1000013494.3846765
8dfa059401e1dca80ae65ae1,639711177.048333
3e3f264cd0ac7a65ed2349a2,810475226.5670921
112dce80bf512f3f24391d23,554975747.0230767
ff25ded6333278149f8fb68f,563767613.6227947
d555b82c192794e87e9d536f,563767613.6227947
a787382d96ef9fce8f27bc70,787052659.5675448
8c3aa295f7bcfd9a43eb2037,803100790.0473646
13ac95652fb3cf6c43dafc66,584064776.1508703
42fc6a80b882c32f6264ac10,678457563.6033819
1e9c53e09220d689a0210ab9,597147786.8380414
3348706086aa3db5c92259c3,627205181.8291914
66d402a9b7d05f29282ddb00,690642750.0355883
cf88be51d6f31c10e5868ff7,627205181.8291914
30b3f38716be209a894b0942,690642750.0355883
