property_id,time_cfinanciero
42fffff3b7d86f176d66e688,2633
c2e98ba7234002eedd13d3fb,1961
f436b771ab158baad8f0d9cb,2684
e23eccd262343f0f7b58e325,2466
e261c1f189aa3df44a235793,2708
16ed0a24daa61c9b04aa8ef1,5608
473eab1dfa343c0a0a72dc4e,2969
b1252f7534ea7bcd7ba70d2b,1831
e943dd13f460b53618389c2d,5180
995b5db2ecc4651032d71820,5490
09abed32fb1eb8c4c5f193a3,1285
eb150e795078f9ed29f8d676,5009
94c65d86537e765e9b6a8051,4332
8ba4e958c3831505ce9ddcd0,1830
6795f48d4d0353fbc01df8ad,4144
dce7f9a01e8ba98b7aa6bbb4,1971
68f4a8ef27c3aeef9a1809c8,3355
ebfd7da7d4f732d6b55085fc,4279
d4ec4da09284e4d7738dd7ab,2023
60df2550969f7d86259f35d6,2476
6a9005404dfccf766bb6a4c9,3026
f30140bbbe020a53d8647f57,2464
f1396b3ab4c69ae7946b9fb0,2437
91e9a3218358abd53fd3cdf6,1974
92855d20bd6d422be5ef6921,2906
0a57d3ae93f8c3b602ed71a7,2815
34a9843ab53ae6613933338d,3807
4016424768ba168e1e312338,5197
da717f0c32600dd44b49a3eb,5159
a588b63f7375355285770a18,2202
bbaa90ac05937e4a0ce1e6a8,2202
70d8fd63bf434414c3cf6d6a,4708
1302075fb35367066444e792,6217
6abba184cbe2b0892bd996e1,2538
656e2b6ccee335ee903a0831,2645
59b42c9f6fe86ef074f621c1,4922
794d404fcfd2a043427ada87,4029
9629c5aff85e1eb6acf6bf2d,4379
1210bb53141d5fc4826850d5,2762
ff5247332baea90924a4e9fd,4475
aac4a9c3f2f57a99a8a9eb97,2974
789bc660f2d45d9fcc79c843,3683
1e004360757c1416b34f844b,2974
2785338dfcecccb5613fba67,4823
ed2c224ad702e6bf9983e38a,2400
a52cf1f49504449ee5a54cce,2461
0761a42e41c69ceb6b8659b7,3084
eade528bce493169e004815a,3192
240413125e1569f63bf20d1c,2418
84a9da9d84b975bcd0954c36,813
0b6d6fb4def14c9905917ace,3544
fb432c48c63cbc96305a60dc,2459
b820d873dad74b38456b4658,2974
8207f5f8ac24885c7fc15478,2852
b6bbb9e4f535a62804cb27ce,3832
d5fada92e88748a559d0e04b,1567
65ccd43b2334809079554ba3,3099
87d7e78da6fe9d269a76e7b2,5503
48f54c2865e7fc163275d45c,5539
c3b19d93e99ddf8f97768bc2,3123
6087264e6b7ad0ce5e247e4c,3255
0627d00cf490b2a963df8e6a,2770
ad640fe571b0d4d361b1ce79,3755
e0835fd5bff28ed87cea752b,4606
4303097e324cf40a8ddc699a,4281
a4e919c6a3ee6624b1362a32,5024
57fc42dce820969c75215db6,4912
8a25291ea5e23e05b075a953,3140
b93fdc7c8b66e5b4b7ee8ece,3645
c5a0d6ded08ee53a3b534344,1807
45fbb7336a775c23858356ae,2622
6528ae6f4085efad3aa557a7,4088
edc69eb3e78e7551d491a4f9,5176
018ea41aa761d93444a1e28e,4117
bea876abb110ef31a5743e2a,3832
6e6466b2e4df4440e82f7c90,3772
f8db52ff0ece3bb383a8e538,5440
6b48115a7fd0d48daaf86b9f,5429
f363c1bbfb6c1c6c7ba58c38,4618
516d2ec7e3a42d52383ec78a,1714
9424d8fff4f31af71d504277,3130
24a73e64472d7671082afcd9,1312
8872bfabb0262b977749a6c3,2438
62d43bce4ab7538e697bb67e,2131
5c9870d699ce86c79d7e3122,2521
f44b77082883a38c0556bf9f,2336
a21cc05d6eb5a8be51892fc6,2260
cb22eb0f774b8fcddd85c5f9,4661
4fdd5cbbd62bc32aa1631a6e,5229
b2cef8a393d0624e14997b69,2122
6faaacf962984b5f4028ceb4,5997
236da96eeb7d53c7dcd05d38,1613
10a2ce5c9f9af2a38c38fbc8,1558
dcf1995e3b2b575d3fecb53f,3155
855dae0777d06c68e50ce334,2587
a7bedac9cb1caf6393aab6bc,4716
84fec15caf5fe9f0da563f39,4019
93787f423a729324848efdf9,3765
4ed28aa19ddf3f6df8e61af4,3765
fbce9da447d3e9e35784214f,2834
b126ca9408aade75472fe223,2898
ab3ffe25c23def3ab71e0eaa,3911
a2c27ee6b18769fd9aa7eace,1827
73371e8328ec726c65d821aa,4621
6e5071022ae4da6cd3915627,1357
1fe4d49d41eefa06fc57fbf2,2938
b774c59b92354da0ec7c4d16,2730
0514ad91a85532afa0c2e899,2378
7cf1aaeb0c15f291740e4a0f,2667
678f06f0c55ebc00b038da5b,2240
6c0542cc78e6936deca1b57a,2224
632c768b53989ad4c46b5dfe,3399
53ee1a5b56c4856cbad5e1e6,4123
2e91569e977a8f982d80d081,4258
e6c982b015cb28d831c19f04,4788
1eb4ccfd6345ed0369068795,3384
02173420861340f487660196,2976
72da889bff178e96b8d20caa,2630
4aef2241f1ed277fbdb93222,2786
1949d3684e96fc97cf42af27,4566
59ac27710d713f79edc1e0a2,2736
a12ff8b55bb6bb404695f5f3,3775
d117cfffaa2ca84f63f4a383,2412
12c33516218c3ab4cfb9761d,2620
5d145ad80d3e06e559b2ad03,2483
aa37499807af91c076bc4266,4226
9e7aca28b29a328d71581a22,2981
a080a0a949f4a946ce7e9ee1,5962
97e7ced839635effd2ff02ec,2653
a76d5d1066b1888ad0156fea,3753
4b3f4acca8905c5f22054fd5,2424
ff763327156eb0d8be510f4d,2801
c33ab1c568055f588e80d32a,4106
c2329129e5377c0f34e4e386,5514
4a5571707df361c146e806ab,2194
403730827d010ebad77b9380,2353
1164ac45a248821711928c5c,5242
eee956f1ec5e00a8dbc2c295,4113
dc252ff218a2af05d5c96d02,2389
0201e4ef7cdd4b0f217db65d,2282
54387d734c752a9df44a0caa,2896
f9d4130c0b69af370eb3a572,2302
9db7b3132f34d62170d5e477,1557
6b4e226100c594a52e5cb6e2,3003
f7942bac72e579d442541803,2188
c056432cac607044ec30ad3a,1557
81751248dae6f71c7d006bd2,4382
5b91e6d5807a4dda7e027fe8,3605
f724bc7bbff0f23a51139ed2,2825
467ec110779e134acc260460,2265
a1df804ae16cd828bcb92e42,4955
72271472dd5854dfaf464c79,2553
83686394bf4cee2320a3e725,5363
a4a3d55e2142206c3be09b9e,3772
b0ef085104037cb3af32b7cb,3730
dc05c22a272b75d787aecb70,2238
aed88fdcb1016a2c1ab2481c,2920
fe2453f0b914308d6fd7f322,4185
a26cc9e90d449c7ae6793c68,4579
cf01ce9ee4f731a44f70ed6d,3477
4d96720fd7c957fc192941a5,2887
bbe56d6a8b914679dd43daf3,3650
6a9eccbd24d7759416201c43,4012
28e115297e74047a7c795afb,4135
ce538710da43bf4b5bbef856,2313
